1086,CONTAINER,1,1,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,2,2,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,3,3,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,4,4,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,5,5,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,6,6,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,7,7,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,8,8,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,9,9,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,10,10,110.00,101.00,22.22,19.20,1.00,25.00,5.00
1086,GLIDER,1,11,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,2,12,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,3,13,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,4,14,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,5,15,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,6,16,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,7,17,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,8,18,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,9,19,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,10,20,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,11,21,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,12,22,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,13,23,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,14,24,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,15,25,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,16,26,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,17,27,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,18,28,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,19,29,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,20,30,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,21,31,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,22,32,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,23,33,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,24,34,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,25,35,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,26,36,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,27,37,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,28,38,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,29,39,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,30,40,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,31,41,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,32,42,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,33,43,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,34,44,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,35,45,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,36,46,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,37,47,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,38,48,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,39,49,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,40,50,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,41,51,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,42,52,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,43,53,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,44,54,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,45,55,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,46,56,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,47,57,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,48,58,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,49,59,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,50,60,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,51,61,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,52,62,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,53,63,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,54,64,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,55,65,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,56,66,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
